"Data","Credor","Orgão","Ug","Tipo Licitacao","Empenho","Natureza da Despesa","Fonte","Fontedet","Catec","Natec","Funcao","Subfuncao","Programa","Projeto","Plano Orcamentario","Empenhado","Liquidado","Pago","Numero Contrato","Valor Contrato"
"31/12/2021","PF0000001 - FOLHA DE PAGAMENTO - ATIVOS E INATIVOS","38 - SECRETARIA ESTADUAL PARA INCLUSÃO DA PESSOA COM DEFICIÊNCIA","380101 - SEC. EST. P/INCLUSAO DA PESSOA C/DEFICIENCIA","Não aplicável","2021NE00273","319011 - Vencimentos e Vantagens Fixas - Pessoal Civil","100 - RECURSOS DO TESOURO ESTADUAL","SEM DETALHAMENTO","Despesas Correntes","Pessoal e Encargos Sociais","ADMINISTRAÇÃO","ADMINISTRAÇÃO GERAL","0010 - GESTÃO EFICIENTE E TRANSPARENTE","2500 - GESTÃO DE PESSOAS","","R$-229.09","R$0.00","R$0.00","",""
"31/12/2021","PF0000001 - FOLHA DE PAGAMENTO - ATIVOS E INATIVOS","38 - SECRETARIA ESTADUAL PARA INCLUSÃO DA PESSOA COM DEFICIÊNCIA","380101 - SEC. EST. P/INCLUSAO DA PESSOA C/DEFICIENCIA","Não aplicável","2021NE00214","319011 - Vencimentos e Vantagens Fixas - Pessoal Civil","100 - RECURSOS DO TESOURO ESTADUAL","SEM DETALHAMENTO","Despesas Correntes","Pessoal e Encargos Sociais","ADMINISTRAÇÃO","ADMINISTRAÇÃO GERAL","0010 - GESTÃO EFICIENTE E TRANSPARENTE","2500 - GESTÃO DE PESSOAS","","R$-230.41","R$0.00","R$0.00","",""
"31/12/2021","PF0000001 - FOLHA DE PAGAMENTO - ATIVOS E INATIVOS","38 - SECRETARIA ESTADUAL PARA INCLUSÃO DA PESSOA COM DEFICIÊNCIA","380101 - SEC. EST. P/INCLUSAO DA PESSOA C/DEFICIENCIA","Não aplicável","2021NE00364","319011 - Vencimentos e Vantagens Fixas - Pessoal Civil","100 - RECURSOS DO TESOURO ESTADUAL","SEM DETALHAMENTO","Despesas Correntes","Pessoal e Encargos Sociais","ADMINISTRAÇÃO","ADMINISTRAÇÃO GERAL","0010 - GESTÃO EFICIENTE E TRANSPARENTE","2500 - GESTÃO DE PESSOAS","","R$-229.09","R$0.00","R$0.00","",""
"31/12/2021","PF0000001 - FOLHA DE PAGAMENTO - ATIVOS E INATIVOS","38 - SECRETARIA ESTADUAL PARA INCLUSÃO DA PESSOA COM DEFICIÊNCIA","380101 - SEC. EST. P/INCLUSAO DA PESSOA C/DEFICIENCIA","Não aplicável","2021NE00357","319011 - Vencimentos e Vantagens Fixas - Pessoal Civil","100 - RECURSOS DO TESOURO ESTADUAL","SEM DETALHAMENTO","Despesas Correntes","Pessoal e Encargos Sociais","ADMINISTRAÇÃO","ADMINISTRAÇÃO GERAL","0010 - GESTÃO EFICIENTE E TRANSPARENTE","2500 - GESTÃO DE PESSOAS","","R$0.00","R$0.00","R$2,681.34","",""
"31/12/2021","PF0000001 - FOLHA DE PAGAMENTO - ATIVOS E INATIVOS","38 - SECRETARIA ESTADUAL PARA INCLUSÃO DA PESSOA COM DEFICIÊNCIA","380101 - SEC. EST. P/INCLUSAO DA PESSOA C/DEFICIENCIA","Não aplicável","2021NE00161","319011 - Vencimentos e Vantagens Fixas - Pessoal Civil","100 - RECURSOS DO TESOURO ESTADUAL","SEM DETALHAMENTO","Despesas Correntes","Pessoal e Encargos Sociais","ADMINISTRAÇÃO","ADMINISTRAÇÃO GERAL","0010 - GESTÃO EFICIENTE E TRANSPARENTE","2500 - GESTÃO DE PESSOAS","","R$-230.41","R$0.00","R$0.00","",""
"31/12/2021","PF0000001 - FOLHA DE PAGAMENTO - ATIVOS E INATIVOS","38 - SECRETARIA ESTADUAL PARA INCLUSÃO DA PESSOA COM DEFICIÊNCIA","380101 - SEC. EST. P/INCLUSAO DA PESSOA C/DEFICIENCIA","Não aplicável","2021NE00191","319011 - Vencimentos e Vantagens Fixas - Pessoal Civil","100 - RECURSOS DO TESOURO ESTADUAL","SEM DETALHAMENTO","Despesas Correntes","Pessoal e Encargos Sociais","ADMINISTRAÇÃO","ADMINISTRAÇÃO GERAL","0010 - GESTÃO EFICIENTE E TRANSPARENTE","2500 - GESTÃO DE PESSOAS","","R$-230.41","R$0.00","R$0.00","",""
"31/12/2021","PF0000001 - FOLHA DE PAGAMENTO - ATIVOS E INATIVOS","38 - SECRETARIA ESTADUAL PARA INCLUSÃO DA PESSOA COM DEFICIÊNCIA","380101 - SEC. EST. P/INCLUSAO DA PESSOA C/DEFICIENCIA","Não aplicável","2021NE00346","319011 - Vencimentos e Vantagens Fixas - Pessoal Civil","100 - RECURSOS DO TESOURO ESTADUAL","SEM DETALHAMENTO","Despesas Correntes","Pessoal e Encargos Sociais","ADMINISTRAÇÃO","ADMINISTRAÇÃO GERAL","0010 - GESTÃO EFICIENTE E TRANSPARENTE","2500 - GESTÃO DE PESSOAS","","R$-229.09","R$0.00","R$0.00","",""
"30/12/2021","210208 - FUNDO DE PREVIDÊNCIA SOCIAL DO ESTADO DO PIAUÍ","38 - SECRETARIA ESTADUAL PARA INCLUSÃO DA PESSOA COM DEFICIÊNCIA","380101 - SEC. EST. P/INCLUSAO DA PESSOA C/DEFICIENCIA","Não aplicável","2021NE00365","319113 - Obrigações Patronais","100 - RECURSOS DO TESOURO ESTADUAL","SEM DETALHAMENTO","Despesas Correntes","Pessoal e Encargos Sociais","ADMINISTRAÇÃO","ADMINISTRAÇÃO GERAL","0010 - GESTÃO EFICIENTE E TRANSPARENTE","2500 - GESTÃO DE PESSOAS","","R$10,508.44","R$10,508.44","R$0.00","",""
"30/12/2021","35146042000110 - ASSOC.PAIS/AMIGOS EXCEP. APAE LUIS CORREIA","38 - SECRETARIA ESTADUAL PARA INCLUSÃO DA PESSOA COM DEFICIÊNCIA","380101 - SEC. EST. P/INCLUSAO DA PESSOA C/DEFICIENCIA","Não aplicável","2021NE00358","445041 - Contribuições","100 - RECURSOS DO TESOURO ESTADUAL","CONVENIOS DE DESPESAS","Despesas de Capital","Investimentos","DIREITOS DA CIDADANIA","ASSISTÊNCIA AO PORTADOR DE DEFICIÊNCIA","0007 - PIAUÍ INCLUSIVO","1947 - APOIO ÀS ENTIDADES SEM FINS LUCRATIVOS QUE ATENDEM AO TRANSPORTE DE PESSOAS COM DEFICIÊNCIA","","R$0.00","R$0.00","R$50,000.00","",""
"30/12/2021","04238951000154 - LOCMED HOSPITALAR LTDA","38 - SECRETARIA ESTADUAL PARA INCLUSÃO DA PESSOA COM DEFICIÊNCIA","380101 - SEC. EST. P/INCLUSAO DA PESSOA C/DEFICIENCIA","Pregão","2021NE00255","449052 - Equipamentos e Material Permanente","100 - RECURSOS DO TESOURO ESTADUAL","SEM DETALHAMENTO","Despesas de Capital","Investimentos","SAÚDE","ASSISTÊNCIA AO PORTADOR DE DEFICIÊNCIA","0007 - PIAUÍ INCLUSIVO","1364 - AÇÕES DE ATENÇÃO À SAÚDE DA PESSOA COM DEFICIÊNCIA","","R$0.00","R$0.00","R$69,600.00","020/2021","R$69,600.00"
